epoch,total_loss,classification_loss,distillation_loss,anchor_loss,mnist_accuracy,user_validation_accuracy,mnist_drop,max_user_class_drop,mnist_safe,class_safe,safe,better_than_best,accepted_as_best
1,0.5058067850768566,0.4653040930628777,0.08061565812677145,0.0019486090204395624,99.38,95.23809523809524,-0.060000000000002274,0.0,True,True,True,True,True
2,0.46872621066868303,0.4280210694298148,0.0792853593826294,0.010624610091326758,99.4,95.23809523809524,-0.0800000000000125,0.0,True,True,True,True,True
3,0.44998537879437206,0.4074254043400288,0.08010059986263514,0.025096717616543175,99.41,95.23809523809524,-0.09000000000000341,0.0,True,True,True,True,True
4,0.44029295835644006,0.3910628190264106,0.09004276832565665,0.04208754734136164,99.41,95.71428571428571,-0.09000000000000341,0.0,True,True,True,True,True
5,0.4050575980916619,0.3530908515676856,0.09187032333575189,0.06031586281023919,99.39,96.66666666666667,-0.07000000000000739,0.0,True,True,True,True,True
6,0.39095839485526085,0.3380577640607953,0.08973026792518794,0.08035495178773999,99.37,96.66666666666667,-0.05000000000001137,0.0,True,True,True,False,False
7,0.38543768487870694,0.32853399477899076,0.09344223290681838,0.10182574521750212,99.37,96.66666666666667,-0.05000000000001137,0.0,True,True,True,False,False
8,0.3793765176087618,0.318721236102283,0.09684200901538134,0.12234278339892626,99.36,96.66666666666667,-0.04000000000000625,0.0,True,True,True,False,False
9,0.3770778883248568,0.31462968066334723,0.09610922085121273,0.14393597580492495,99.34,96.66666666666667,-0.020000000000010232,0.0,True,True,True,False,False
